description,prix,code,marque,date
Gouda au jalapeno,5.0,20894625_EA,Anco,2019-07-14 23:05
Havarti en tranches, 23 %,5.0,20907695_EA,Ziggy’s,2019-07-14 23:05
Havarti aux jalapenos,5.0,20573910_EA,Arla,2019-07-14 23:05
Gouda fumé,5.0,20884327_EA,Anco,2019-07-14 23:05
Gouda épicé,5.0,20884302_EA,Anco,2019-07-14 23:05
Havarti léger,5.0,20574530_EA,Arla,2019-07-14 23:05
Gouda mi-fort,5.0,20972281_EA,Anco,2019-07-14 23:05
Havarti crémeux en tranches, 32 %,5.0,20913249_EA,Ziggy’s,2019-07-14 23:05
Havarti crémeux,5.0,20573932_EA,Arla,2019-07-14 23:05
Gouda en tranches,5.28,20250505_EA,le Choix du Président,2019-07-14 23:05
Havarti en tranches 25 % moins de gras,5.28,20217523_EA,le Choix du Président,2019-07-14 23:05
Fromage havarti aux fines herbes et épices en tranches,5.28,20571483_EA,le Choix du Président,2019-07-14 23:05
havarti crémeux fromage,5.28,20219790_EA,le Choix du Président,2019-07-14 23:05
Fromage havarti avec piments jalapeño en tranches,5.28,20571482_EA,le Choix du Président,2019-07-14 23:05
Fromage Doré-Mi aux épices méditerranéennes,5.28,20700411_EA,Saputo,2019-07-14 23:05
